,mot_ID
YKL222C,M01586_2.00
TOD6,M01559_2.00
VID22,
BAS1,M01561_2.00
UPC2,M00920_2.00
NDD1,
ITC1,
STE12,M00916_2.00
UGA3,M00079_2.00
ADR1,M00021_2.00
GCN4,M01523_2.00
YRR1,M01594_2.00
MSN1,M00913_2.00
YNR063W,M01592_2.00
MOT3,M00912_2.00
GIS1,M00019_2.00
YLR278C,M00926_2.00
RME1,M08415_2.00
SWI6,
MSN4,M00032_2.00
SIP4,M01582_2.00
STP1,M00910_2.00
TBS1,M01571_2.00
WAR1,M08629_2.00
IXR1,M08429_2.00
ASH1,M08419_2.00
CYC8,
HSF1,M00060_2.00
ECM22,M00924_2.00
MET4,M08436_2.00
SMP1,M01557_2.00
PDC2,M08613_2.00
TOS8,M02192_2.00
USV1,M01538_2.00
DIG1,
HAP3,M08464_2.00
UGA3C,M00079_2.00
SFP1,M01536_2.00
XBP1,M01515_2.00
YRM1,M01595_2.00
COM2,M01530_2.00
FZF1,M00028_2.00
GAT2,
CST6,M00906_2.00
YAP5,M08409_2.00
MSA2,
CBF1,M01520_2.00
GAL80,
SFL1,M01556_2.00
YOX1,M01552_2.00
RDR1,M01597_2.00
DAL81,M08440_2.00
ARG80,M08426_2.00
CUP9,M01553_2.00
HAP1,M00925_2.00
YAP3,M00905_2.00
RAP1,M01564_2.00
HAP2,M08452_2.00
MAC1,M08552_2.00
INO2,M08405_2.00
GAT1,M01546_2.00
ENV11,
MET31,M00040_2.00
STB5,M00923_2.00
ACA1,M08494_2.00
GAL11,
CRZ1,M00038_2.00
NSI1,M08594_2.00
TDA9,M01537_2.00
YAP2,M00903_2.00
HCM1,M00044_2.00
SRL3,
ACE2,M00033_2.00
ABF2,M00069_2.00
MET32,M01528_2.00
SKN7,M01555_2.00
RGT1,M01585_2.00
FKH1,M01541_2.00
LEU3,M01590_2.00
SUT2,M01600_2.00
LYS14,M01574_2.00
PDR1,M01579_2.00
TOG1,M00921_2.00
ERT1,M01572_2.00
STB4,M00927_2.00
RTG1,M08487_2.00
RML1,
YAP7,M08505_2.00
PHO4,M01519_2.00
MIG2,M01533_2.00
NRM1,
EDS1,M00919_2.00
AFT1,M01513_2.00
MCM1,M01558_2.00
YJL206C,
PIP2,
HMS2,M08584_2.00
SUT1,M00922_2.00
CHA4,M01588_2.00
MSN2,M00036_2.00
HAL9,M01593_2.00
UME6,M01575_2.00
PPR1,M08677_2.00
HAC1,M00904_2.00
RSF2,M00031_2.00
KAR4,M08611_2.00
GZF3,M01548_2.00
SIZ1,
ABF1,M00902_2.00
RPH1,M01531_2.00
NRG2,M00909_2.00
YHP1,M02191_2.00
GAL4,M01599_2.00
STP4,M01526_2.00
SWI4,M00004_2.00
GCR2,M08437_2.00
OAF3,
ASG1,M01581_2.00
NFI1,
TYE7,M01521_2.00
RPN4,M01525_2.00
GCR1,M00914_2.00
MAL13,
FHL1,M01543_2.00
SPT20,
HMS1,M08488_2.00
ZNF1,
RFX1,M00066_2.00
DIG2,
CAD1,M00903_2.00
NRG1,M01527_2.00
AFT2,M00002_2.00
HAP5,M08466_2.00
SUM1,M01517_2.00
GSM1,M01583_2.00
VHR2,M00917_2.00
NHP6A,M01566_2.00
CUP2,M08551_2.00
PUL4,M01592_2.00
DAL80,M00052_2.00
RSC3,M01576_2.00
GLN3,M01545_2.00
MIG1,M01532_2.00
RLM1,M08590_2.00
VHR1,M08640_2.00
MGA2,
MIG3,M01529_2.00
AZF1,M00039_2.00
SPT23,M08435_2.00
STP3,M00034_2.00
WHI5,
MSS11,M08633_2.00
PUT3,M01584_2.00
ZAP1,M00911_2.00
OPI1,M08433_2.00
OAF1,M01570_2.00
RIM101,M00030_2.00
YAP4,M00908_2.00
POG1,
SWI5,M00020_2.00
IFH1,
ARG81,M08441_2.00
RDS1,M01573_2.00
PDR8,M00098_2.00
REB1,M00063_2.00
ARO80,M01577_2.00
NHP6B,M01565_2.00
HAP4,M08627_2.00
STB1,
FKH2,M01542_2.00
HOT1,
MBP1,M01514_2.00
RGM1,M00037_2.00
PDR3,M00918_2.00
MGA1,M01554_2.00
SDD4,M00043_2.00
CAT8,M00102_2.00
STP2,M01535_2.00
YAP1,M01524_2.00
RDS2,M01598_2.00
PHO2,M02190_2.00
RTG3,M01518_2.00
TEA1,M01596_2.00
SKO1,M00907_2.00
DOT6,M01560_2.00
TEC1,M01568_2.00
HAA1,M08553_2.00
URC2,M01578_2.00
PHD1,M01516_2.00
SOK2,M00007_2.00
YAP6,M01522_2.00
ROX1,M00070_2.00
